family,n_cells,trend_rho_mean,trend_rho_sd,t,p
babylm-gpt2,8,0.29166666666666674,0.7487025815072069,1.1018499625359777,0.3069642290790041
beetle-fineweb3-eng,8,0.2458263901868662,0.27587981693343305,2.52030771120434,0.03979263507186681
pico-decoder-tiny,8,0.20568181818181813,0.5724198424775048,1.0163100410612174,0.3433150777796226
beetle-humanscale-eng,8,0.0741060713683085,0.3370088560240951,0.6219528615340446,0.5536821250060778
babylm-gpt2-7,8,-0.018750000000000003,0.5098581735569777,-0.10401521705342344,0.9200747283684965
pythia-160m-full,8,-0.1463137459434707,0.6760854029384227,-0.6121087157792511,0.5598148542380019
pico-decoder-small,8,-0.23490259740259734,0.31008589133545045,-2.1426478815448204,0.06936257520686029
pythia-70m-full,8,-0.2547905298394068,0.3368907070852669,-2.1391401738601052,0.06972277942178051
pico-decoder-large,8,-0.2712662337662337,0.2436307042512745,-3.1492614035250144,0.016168726518950016
babylm-gpt2-3,8,-0.275,0.5722414852667688,-1.359246890222574,0.21623185205398618
pico-decoder-medium,8,-0.2788961038961038,0.4243354781644566,-1.8589944650822898,0.10536689768440881
pythia-1.4b-full,8,-0.33241313867512157,0.5029756689926052,-1.8692879119458041,0.10378631352479747
babylm-gpt2-5,8,-0.39375000000000004,0.5282448851907218,-2.1082895671894977,0.07297249766510863
pythia-410m-full,8,-0.428710642942023,0.36507969528549555,-3.3214030438377318,0.012740464015984174
pythia-1b-full,8,-0.484572938840529,0.4869600628329424,-2.814561909165686,0.02597522584815778
