family,model_ref,step,tokens,norm,gini,hoyer,per,condition_number,cka_to_prev
pico-decoder-tiny,pico-lm/pico-decoder-tiny@103adb71c10fcc35cebf2b93843f0dd76be7f44e,0,,7.873903498245878,0.06932659975849019,0.008740060269116185,0.29797573755675155,22.669433051299794,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@fa2c5d27a1fbae4ac24e49c80d0ff1a9cecfabd0,1000,,18.92730333258635,0.13818633421240398,0.039521658165165584,0.20359865320821194,59.562258527643934,0.6874722870724762
pico-decoder-tiny,pico-lm/pico-decoder-tiny@c0dda9ee77ced01962ae332bbf283bcf238765a8,2000,,10.241871274319331,0.1524007691176223,0.04569392702082186,0.21117352630697492,58.083350057653114,0.557880269778913
pico-decoder-tiny,pico-lm/pico-decoder-tiny@88ef3234093953618e0d8f3c898c9811ec24ed35,3000,,8.745489921358908,0.1628228406847971,0.052333797585755105,0.2121303077249491,53.90232012693764,0.8845810424008748
pico-decoder-tiny,pico-lm/pico-decoder-tiny@84bc530a1fc367c8efc0b3957b86d1c509296091,4000,,8.243085839838661,0.1720059299623038,0.0592081582117138,0.21677549106505348,51.30552572742739,0.946868198468069
pico-decoder-tiny,pico-lm/pico-decoder-tiny@d31ea8a1afbffb6e7b934a4645ce44652a0d146f,5000,,8.022485000283249,0.17796543412092994,0.06394840827251605,0.22474801153623702,47.97312520313659,0.9632219191080079
pico-decoder-tiny,pico-lm/pico-decoder-tiny@61eace927bb768764dca51562258d78a2fe54f76,7000,,7.907709248134527,0.19223173773325342,0.07479198155987786,0.225469015834218,49.695828663566154,0.948252144007761
pico-decoder-tiny,pico-lm/pico-decoder-tiny@5db2932311894754cd4e80f811378100794ae014,8000,,7.977911086330501,0.19847574896296194,0.07989155425496583,0.22998817701640048,45.51350498886314,0.9802407142306707
pico-decoder-tiny,pico-lm/pico-decoder-tiny@a5175df52f960d869efda7045c5982e933d3b705,10000,,8.042646897503678,0.2003966249033411,0.08148566972251971,0.22692881415641922,47.22736121366589,0.9706905633721039
pico-decoder-tiny,pico-lm/pico-decoder-tiny@46c9adae32a035be4680d5185fd1e87408bbc608,13000,,8.174057315021644,0.20346298891603468,0.0852752272958152,0.22519500047118812,46.50855941034761,0.966535092098359
pico-decoder-tiny,pico-lm/pico-decoder-tiny@50fc297ab0c87309ed3b0c670e2d57d37acab44a,16000,,8.246596702644718,0.20940960251305515,0.09028893133386123,0.22590086232076792,45.883354590545174,0.9761340223126206
pico-decoder-tiny,pico-lm/pico-decoder-tiny@fd11f6e99d18679b34412651c839856af185d241,20000,,8.408827778385119,0.21503165793863502,0.09606277222570592,0.222709439939387,48.09424332276793,0.97523726269424
pico-decoder-tiny,pico-lm/pico-decoder-tiny@e1dc0e8bf248742bffbb7184e2971541821cff1b,24000,,8.602132045047497,0.2206917161968673,0.1024784936100817,0.22163107199839518,50.18234976943139,0.9809647267420738
pico-decoder-tiny,pico-lm/pico-decoder-tiny@4e773530a79a36816566462c2b3d9ff7172b65f8,30000,,8.759229730604746,0.22527671537623886,0.10868433036587721,0.21907218072845658,49.02765451367592,0.9779902820410479
pico-decoder-tiny,pico-lm/pico-decoder-tiny@de9cd9bd9035dd4f914f6f69c10b9352e8b5c974,37000,,9.00717977384369,0.23102679878044072,0.1148468794659029,0.21676280117251723,50.02997236089984,0.9804076321572764
pico-decoder-tiny,pico-lm/pico-decoder-tiny@5373188422135e88150055fef33a4e3aac2bd5a8,45000,,9.128970657408741,0.23710779584925276,0.12230412882909085,0.21973964961834871,50.25774300988906,0.9810560396920461
pico-decoder-tiny,pico-lm/pico-decoder-tiny@6a777ce3230ad361b38533d232052d21852db2f0,56000,,9.416490085740866,0.24551509882040898,0.13261121263947753,0.21305390079881092,50.27330464849587,0.9808798577615997
pico-decoder-tiny,pico-lm/pico-decoder-tiny@807a5f576926680d3e81601211eeb7f086c9bbd6,68000,,9.588330237404607,0.25157355956746974,0.1408231890544759,0.2108053765611169,54.67598487291348,0.984535053611915
pico-decoder-tiny,pico-lm/pico-decoder-tiny@fcd2b3ed5faa6b2389382af2bc876f1835ecff6a,84000,,9.55741691769205,0.25699499167279366,0.14834686078826473,0.20704249884628267,57.681665685092554,0.9845305978314663
pico-decoder-tiny,pico-lm/pico-decoder-tiny@3d9aaed7161ee69ed04d611c1ee9c81176178c6a,103000,,9.437815805714036,0.2611726037874294,0.1525832540605586,0.20404199916321422,58.53566297040606,0.9877444523444003
pico-decoder-tiny,pico-lm/pico-decoder-tiny@6ce1a7d66569cb86b4589f3fc6298e885b8ab8e5,126000,,9.239689502163293,0.2671025103349187,0.15979667037174686,0.20395614908497894,59.37630971719736,0.9910848123982068
