family,n_cells,trend_rho_mean,trend_rho_sd,t,p
babylm-gpt2,8,0.29166666666666663,0.7487025815072067,1.1018499625359777,0.3069642290790041
beetle-fineweb3-eng,8,0.24582639018686628,0.2758798169334331,2.5203077112043406,0.03979263507186677
pico-decoder-tiny,8,0.2056818181818182,0.5724198424775049,1.0163100410612178,0.3433150777796226
beetle-humanscale-eng,8,0.07410607136830849,0.3370088560240951,0.6219528615340445,0.5536821250060779
babylm-gpt2-7,8,-0.018750000000000003,0.5098581735569777,-0.10401521705342344,0.9200747283684965
pythia-160m-full,8,-0.1463137459434707,0.6760854029384227,-0.6121087157792511,0.5598148542380019
pico-decoder-small,8,-0.2349025974025974,0.3100858913354505,-2.1426478815448204,0.06936257520686029
pythia-70m-full,8,-0.25479052983940687,0.33689070708526697,-2.1391401738601057,0.06972277942178044
pico-decoder-large,8,-0.27126623376623377,0.24363070425127453,-3.149261403525014,0.016168726518950027
babylm-gpt2-3,8,-0.275,0.5722414852667687,-1.3592468902225743,0.2162318520539861
pico-decoder-medium,8,-0.27889610389610386,0.4243354781644567,-1.8589944650822896,0.1053668976844089
pythia-1.4b-full,8,-0.3324131386751217,0.5029756689926052,-1.8692879119458046,0.10378631352479742
babylm-gpt2-5,8,-0.39375,0.5282448851907218,-2.1082895671894972,0.07297249766510873
pythia-410m-full,8,-0.428710642942023,0.36507969528549555,-3.3214030438377318,0.012740464015984174
pythia-1b-full,8,-0.484572938840529,0.4869600628329424,-2.814561909165686,0.02597522584815778
