family,step,layer,per,gini,hoyer,norm,condition_number
babylm-gpt2-3,191,0,0.05821480788061528,0.32948719701132595,0.15540429879484127,23.2905207243423,285.28401185085136
babylm-gpt2-3,191,1,0.06307216856814672,0.3369349565727972,0.1590385788113174,36.57442395347393,332.0440339914304
babylm-gpt2-3,191,2,0.06037754195961917,0.33916527424786685,0.16025307238498787,47.96783282330022,387.65683261126605
babylm-gpt2-3,191,3,0.05806927985382813,0.344537569702275,0.162505375072066,59.77141384299647,452.4141276234188
babylm-gpt2-3,191,4,0.05375118906195362,0.35652991605875867,0.17240001980531094,72.060487446654,510.70258707254004
babylm-gpt2-3,191,5,0.051664549266175336,0.3555929436316732,0.1704063896421111,82.7548610284627,572.9319118811069
babylm-gpt2-3,191,6,0.049114998858487954,0.35468967476119645,0.16962886887097342,91.9295718563529,623.638903309878
babylm-gpt2-3,191,7,0.045377231031952195,0.3535782133614451,0.1684525239753594,100.88964993352792,680.4863793634972
babylm-gpt2-3,191,8,0.04237408397307451,0.35338446753886843,0.16796982091507667,109.63423383900296,755.6748831769144
babylm-gpt2-3,191,9,0.04059958339627988,0.35034515642421743,0.1656732702281967,116.59601095174139,798.5475321520521
babylm-gpt2-3,191,10,0.037182771353095605,0.35245847838784483,0.1658242505463542,127.01080252703936,883.5815223749166
babylm-gpt2-3,191,11,0.03434956750879873,0.3528705809673827,0.16554884746150755,136.0493652052322,966.0517169161836
babylm-gpt2-3,382,0,0.0606674831385517,0.3430065553611446,0.16531140422066767,30.400822519704505,347.03814599207703
babylm-gpt2-3,382,1,0.05249159811511761,0.3568272207613521,0.1760640249006541,40.76091180112894,403.0042277620361
babylm-gpt2-3,382,2,0.05065388502283445,0.3602221002062698,0.17844442473211639,49.691309434572275,429.0911857157682
babylm-gpt2-3,382,3,0.04922348135928152,0.3616530181998434,0.1770353132374706,60.51470559874447,484.2073200826079
babylm-gpt2-3,382,4,0.04829352346477351,0.3720867249050306,0.18333383297154635,69.81012635286585,521.083421394998
babylm-gpt2-3,382,5,0.04724939948313393,0.3766059531137933,0.18491644663089685,77.36710806204336,557.7046706319492
babylm-gpt2-3,382,6,0.04723413068704671,0.3660086712334407,0.17759151962175274,82.13491469545029,599.0212089372802
babylm-gpt2-3,382,7,0.045312454572589006,0.3635492050843108,0.1794445085673536,84.59482090658514,642.0765693721883
babylm-gpt2-3,382,8,0.04586481805209311,0.35365587006695837,0.17272046752522888,85.07869430615217,661.8091080727066
babylm-gpt2-3,382,9,0.04577363083325423,0.3522610025635358,0.17240820578573568,88.03666407930392,676.0719823967452
babylm-gpt2-3,382,10,0.04386271726175931,0.3541583345917085,0.1750367987631705,95.0173118299268,722.7321680816921
babylm-gpt2-3,382,11,0.042612402818702245,0.3492751397804867,0.17160121829449024,103.06598273735393,769.0701780192142
babylm-gpt2-3,573,0,0.07135813881307496,0.3449158636058189,0.1684305567142411,31.355032721516327,302.8726190108165
babylm-gpt2-3,573,1,0.05534479834588645,0.3497873309871398,0.1728634804195538,38.59889404377531,363.08285649558246
